Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
14:50:19.530241,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.530298,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.530326,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.530391,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.530528,115.113.240.203,10.0.2.15,1514,443,41438
14:50:19.530631,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.530686,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.534788,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.534832,115.113.240.203,10.0.2.15,1514,443,41438
14:50:19.534852,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.535013,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.535189,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.535567,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.535662,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.540227,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.541473,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.541574,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.541683,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.541929,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.542086,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.559253,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.5593,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.559798,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.559888,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.578564,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.579136,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.579353,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.581514,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.581595,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.581602,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.581763,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.59395,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.59395,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.594077,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.594878,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.595293,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.595373,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.595635,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.600555,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.60059,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.600969,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.601077,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.608011,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.608405,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.608501,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.608663,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.608737,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.608796,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.608837,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.613251,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.613292,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.613706,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.614065,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.614563,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.614653,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.614656,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.614703,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.614988,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.615044,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.615244,10.0.2.15,115.113.240.203,101,41438,443
14:50:19.615526,115.113.240.203,10.0.2.15,60,443,41438
14:50:19.619235,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.619765,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.619926,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.620314,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.620404,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.620704,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.620863,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.62107,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.621166,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.626613,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.627291,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.627375,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.630033,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.630053,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.632706,115.113.240.203,10.0.2.15,590,443,41438
