SequenceNumber,RequestTime,ReplyTime,RequestSourceIP,RequestDestIP,ReplySourceIP,ReplyDestIP,ReplyTTLexpiredIP,TTL,Download/Upload/Idle
4138,21:23:07.950721,21:23:08.00679,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4294,21:23:13.160001,21:23:13.190575,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4040,21:23:00.646146,21:23:00.825609,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4100,21:23:05.652456,21:23:05.774721,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4176,21:23:09.259015,21:23:09.261494,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4207,21:23:10.290197,21:23:10.298911,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4216,21:23:10.573945,21:23:10.580971,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3791,21:22:47.581984,21:22:47.619121,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4126,21:23:07.488209,21:23:07.498947,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4325,21:23:14.262707,21:23:14.336897,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4401,21:23:17.235948,21:23:17.255104,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3776,21:22:46.971152,21:22:46.981224,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4315,21:23:13.84612,21:23:13.847635,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4337,21:23:14.696535,21:23:14.705513,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3957,21:22:55.633923,21:22:55.65953,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
