Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
18:24:12.401183,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.401224,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.403284,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.403308,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.403501,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.403501,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.403501,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.403666,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.403826,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.403826,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.403873,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.403826,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.403924,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.404133,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.408511,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.408549,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.408511,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.408751,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.40877,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.408751,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.408786,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.408751,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.408799,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.408922,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.408936,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.408922,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.412802,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.413005,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.412802,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413071,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413126,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.41315,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413126,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413202,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413126,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413245,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413126,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413312,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413349,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413395,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413349,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413489,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413349,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413509,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413349,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413521,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413583,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413595,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413583,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.413606,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.413583,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.415459,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.415494,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.415573,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.415665,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.415676,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.415665,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.415693,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.415796,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.415814,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.415958,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.415977,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.415958,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.415992,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.415958,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.420111,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.420153,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.420327,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.420327,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.420327,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.420426,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.420433,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.421222,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.421276,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.421222,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.421317,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.421222,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.421333,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.421444,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.421599,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.421621,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.421711,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.433091,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.433092,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.433092,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.43327,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.433273,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.43332,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.433323,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.442528,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.442529,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.442529,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.443152,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.443166,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.443311,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.443311,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.443311,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.443311,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.44431,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.444316,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.44432,10.0.2.15,115.113.240.229,54,58992,443
